local_date,t_max_24,t_min_24,td_mean_24,ws_mean_24,c_mean_24,rh_mean_day,p_max_24,p_min_24
2021-01-01,22.0,17.0,8.68,10.808,12.4,44.771427,1022.0,1018.0
2021-01-02,30.0,15.0,10.0,6.2919993,0.0,37.464287,1019.0,1013.0
2021-01-03,29.0,19.0,14.730769,6.3461537,0.0,52.51333,1013.0,1009.0
2021-01-04,30.0,18.0,17.28,5.8,11.0,61.835712,1010.0,1007.0
2021-01-05,24.0,19.0,16.28,9.26,39.6,62.9,1014.0,1008.0
2021-01-06,24.0,18.0,14.708333,8.204166,15.208333,58.638454,1015.0,1013.0
2021-01-07,27.0,17.0,14.92,6.5080004,5.0,60.07857,1014.0,1011.0
2021-01-08,26.0,19.0,14.458333,8.724999,1.0416666,54.761536,1013.0,1009.0
2021-01-09,25.0,16.0,14.769231,4.461538,25.76923,62.364285,1014.0,1007.0
2021-01-10,23.0,17.0,12.375,9.795833,38.541668,52.715385,1016.0,1012.0
2021-01-11,29.0,16.0,13.708333,6.8416667,1.0416666,48.8923,1012.0,1008.0
2021-01-12,31.0,18.0,16.192308,5.7692304,1.9230769,56.513325,1012.0,1010.0
2021-01-13,32.0,21.0,17.44,5.6,3.0,52.45,1012.0,1007.0
2021-01-14,32.0,16.0,16.222221,4.244444,11.111111,56.10667,1007.0,1004.0
2021-01-15,24.0,18.0,16.74074,6.5592594,68.51852,77.59286,1010.0,1006.0
2021-01-16,25.0,17.0,15.32,5.036,53.2,68.99287,1013.0,1009.0
2021-01-17,26.0,16.0,14.5,5.7916665,1.0416666,56.76154,1013.0,1010.0
2021-01-18,29.0,18.0,14.64,5.112,0.0,53.90714,1010.0,1007.0
2021-01-19,25.0,18.0,14.818182,7.6454544,20.0,59.36923,1017.0,1009.0
2021-01-20,26.0,18.0,12.75,6.9375,6.25,49.94615,1017.0,1012.0
2021-01-21,26.0,16.0,15.038462,6.9692307,11.153846,67.10667,1015.0,1011.0
2021-01-22,27.0,16.0,16.958334,4.9874997,16.25,68.06923,1012.0,1010.0
2021-01-23,26.0,17.0,16.633333,4.293333,69.833336,66.95714,1015.0,1008.0
2021-01-24,23.0,17.0,10.72,9.88,15.8,49.857143,1018.0,1013.0
