local_date,t_max_24,t_min_24,td_mean_24,ws_mean_24,c_mean_24,rh_mean_day,p_max_24,p_min_24
2021-01-01,23.0,15.0,14.521739,3.443478,75.0,69.825,1021.0,1017.0
2021-01-02,25.0,16.0,13.478261,3.3086956,56.304348,58.516663,1022.0,1018.0
2021-01-03,26.0,16.0,12.875,3.4458332,40.416668,52.769234,1022.0,1017.0
2021-01-04,26.0,15.0,12.304348,3.1458333,40.833332,53.284622,1022.0,1016.0
2021-01-05,26.0,17.0,13.227273,4.018182,60.454544,55.56923,1021.0,1016.0
2021-01-06,27.0,16.0,13.173913,3.395652,54.130436,50.50833,1022.0,1017.0
2021-01-07,27.0,17.0,12.833333,3.7916667,35.833332,50.98462,1021.0,1015.0
2021-01-08,27.0,16.0,14.318182,2.9090908,32.5,58.323074,1020.0,1013.0
2021-01-09,,,,,,,,
2021-01-10,,,,,,,,
2021-01-11,,,,,,,,
2021-01-12,,,,,,,,
2021-01-13,,,,,,,,
2021-01-14,,,,,,,,
2021-01-15,,,,,,,,
2021-01-16,,,,,,,,
2021-01-17,,,,,,,,
2021-01-18,27.0,19.0,14.0,2.4833333,75.0,62.449997,1020.0,1016.0
2021-01-19,,,,,,,,
2021-01-20,,,,,,,,
2021-01-21,25.0,15.0,13.4,4.2699995,35.0,57.774998,1022.0,1017.0
2021-01-22,25.0,17.0,14.809524,4.9714284,52.142857,67.42308,1021.0,1016.0
2021-01-23,24.0,17.0,14.818182,5.9363637,67.27273,67.91538,1022.0,1017.0
2021-01-24,26.0,15.0,14.65,4.7599998,43.5,63.923073,1021.0,1017.0
2021-01-25,26.0,17.0,14.75,4.9849997,75.0,63.961544,1022.0,1017.0
2021-01-26,27.0,15.0,15.090909,4.340909,30.681818,64.96923,1022.0,1017.0
2021-01-27,27.0,14.0,10.333333,4.038095,17.857143,47.415382,1021.0,1017.0
2021-01-28,28.0,14.0,10.625,3.1208332,11.458333,43.315388,1021.0,1018.0
2021-01-29,28.0,15.0,12.466666,3.26,13.0,52.17778,1022.0,1018.0
2021-01-30,27.0,20.0,12.25,6.95,60.0,47.912495,1022.0,1016.0
