local_date,t_max_24,t_min_24,td_mean_24,ws_mean_24,c_mean_24,rh_mean_day,p_max_24,p_min_24
2021-01-01,22.0,17.0,16.023256,1.8697673,65.93023,76.71304,1022.0,1017.0
2021-01-02,25.0,17.0,16.413044,1.9499999,72.391304,75.62084,1022.0,1017.0
2021-01-03,24.0,17.0,16.933332,1.6622221,65.666664,76.70001,1022.0,1016.0
2021-01-04,25.0,17.0,16.454546,2.0227273,58.863636,70.98751,1022.0,1015.0
2021-01-05,27.0,16.0,15.340909,1.9279069,56.136364,62.395657,1021.0,1015.0
2021-01-06,27.0,17.0,16.88372,2.1744187,54.302326,76.896,1021.0,1016.0
2021-01-07,28.0,16.0,15.217391,2.55,38.695652,57.924,1020.0,1014.0
2021-01-08,29.0,17.0,15.025641,2.674359,52.179485,56.475998,1019.0,1012.0
2021-01-09,17.0,16.0,16.428572,1.042857,75.0,93.8,1020.0,1019.0
2021-01-10,,,,,,,,
2021-01-11,,,,,,,,
2021-01-12,,,,,,,,
2021-01-13,,,,,,,,
2021-01-14,,,,,,,,
2021-01-15,,,,,,,,
2021-01-16,,,,,,,,
2021-01-17,,,,,,,,
2021-01-18,,,,,,,,
2021-01-19,,,,,,,,
2021-01-20,,,,,,,,
2021-01-21,27.0,20.0,16.2,2.69,51.0,64.34615,1021.0,1015.0
2021-01-22,28.0,18.0,15.828571,2.590909,51.0,59.340904,1021.0,1014.0
2021-01-23,24.0,18.0,16.023256,1.7255813,59.65116,78.004005,1021.0,1016.0
2021-01-24,25.0,15.0,15.377778,2.9155552,59.0,68.57917,1021.0,1016.0
2021-01-25,25.0,16.0,14.853659,1.9243901,59.634148,65.00435,1021.0,1017.0
2021-01-26,26.0,16.0,15.309524,2.2238095,58.57143,67.31251,1022.0,1016.0
2021-01-27,28.0,16.0,15.454545,2.5906978,51.81818,65.75834,1021.0,1014.0
2021-01-28,28.0,17.0,15.222222,2.2577777,41.444443,56.992302,1021.0,1015.0
2021-01-29,29.0,17.0,15.0,2.2863636,44.545456,51.663998,1021.0,1016.0
2021-01-30,27.0,17.0,15.395349,2.3139534,47.09302,61.979156,1022.0,1016.0
2021-01-31,28.0,17.0,15.585366,2.3560975,43.292683,60.204544,1020.0,1013.0
2021-02-01,29.0,18.0,14.666667,2.825,58.75,50.138462,1022.0,1016.0
2021-02-02,28.0,17.0,13.152174,2.1282609,48.260868,48.675007,1023.0,1017.0
2021-02-03,28.0,17.0,14.155556,2.2088888,54.11111,52.607998,1023.0,1017.0
2021-02-04,28.0,18.0,15.510638,2.4937499,53.541668,60.73846,1022.0,1017.0
2021-02-05,27.0,17.0,16.142857,2.3714283,62.857143,66.72401,1022.0,1016.0
2021-02-06,27.0,17.0,16.891304,2.1488888,64.565216,71.966675,1021.0,1015.0
2021-02-07,25.0,18.0,17.444445,1.9133333,75.0,76.256004,1020.0,1014.0
2021-02-08,27.0,17.0,17.391304,2.123913,67.82609,77.736,1020.0,1014.0
2021-02-09,27.0,18.0,17.428572,1.5047619,61.42857,69.99091,1020.0,1014.0
2021-02-10,23.0,18.0,17.347826,2.0608692,60.652172,79.996,1021.0,1015.0
2021-02-11,24.0,18.0,17.170214,2.1106381,66.702126,82.327995,1021.0,1017.0
2021-02-12,22.0,18.0,17.636364,1.2613636,77.15909,89.0625,1021.0,1015.0
2021-02-13,26.0,18.0,17.041666,2.6020832,65.625,77.67308,1020.0,1016.0
2021-02-14,27.0,17.0,16.363636,2.565909,62.727272,69.448006,1022.0,1015.0
2021-02-15,28.0,18.0,15.886364,2.8590908,59.886364,64.243996,1020.0,1014.0
2021-02-16,23.0,17.0,16.425531,2.917021,56.48936,76.588005,1020.0,1016.0
2021-02-17,28.0,18.0,16.285715,1.5809524,55.714287,63.537506,1020.0,1014.0
2021-02-18,26.0,18.0,17.363636,1.9886364,60.0,78.28001,1021.0,1017.0
2021-02-19,26.0,17.0,16.866667,1.2733333,59.666668,71.47917,1022.0,1017.0
2021-02-20,25.0,18.0,15.954545,1.7272727,60.68182,75.09167,1022.0,1018.0
2021-02-21,25.0,17.0,16.153847,2.1461537,62.692307,74.520004,1022.0,1017.0
2021-02-22,18.0,17.0,16.0,1.3000001,51.666668,,1020.0,1020.0
2021-02-23,27.0,17.0,16.5625,1.8187499,56.25,64.91818,1021.0,1016.0
2021-02-24,22.0,17.0,16.88889,1.4352942,63.333332,88.08,1020.0,1017.0
2021-02-25,18.0,17.0,17.0,1.675,67.5,,1018.0,1018.0
2021-02-26,28.0,20.0,15.3529415,2.3235295,42.64706,58.35384,1021.0,1014.0
2021-02-27,25.0,17.0,16.045454,1.8681817,50.68182,71.40801,1021.0,1017.0
2021-02-28,28.0,16.0,15.564102,2.379487,47.307693,63.883327,1020.0,1014.0
2021-03-01,28.0,15.0,15.159091,2.3022726,48.409092,58.266666,1020.0,1014.0
2021-03-02,28.0,17.0,16.117647,1.7794118,54.411766,64.58668,1019.0,1013.0
2021-03-03,20.0,17.0,17.34091,2.0272727,67.045456,91.415985,1022.0,1016.0
2021-03-04,23.0,16.0,16.851065,1.6847824,60.31915,77.71154,1020.0,1016.0
2021-03-05,25.0,18.0,17.361702,1.9166666,61.25,78.47693,1020.0,1016.0
2021-03-06,24.0,17.0,16.972973,2.391892,61.216217,72.06112,1021.0,1016.0
2021-03-07,25.0,17.0,16.88889,2.5844443,60.333332,77.392,1022.0,1015.0
2021-03-08,22.0,15.0,15.456522,1.747826,68.19149,80.62917,1023.0,1016.0
2021-03-09,22.0,16.0,15.638298,1.8799998,53.29787,78.02,1024.0,1017.0
2021-03-10,27.0,15.0,15.652174,1.9173912,48.47826,62.008007,1022.0,1015.0
2021-03-11,29.0,16.0,14.595745,2.0510638,40.531914,55.096,1020.0,1014.0
2021-03-12,29.0,16.0,12.395833,2.3145833,33.333332,45.48077,1020.0,1014.0
2021-03-13,27.0,17.0,13.25532,1.9369565,40.31915,50.557693,1020.0,1016.0
2021-03-14,29.0,16.0,13.291667,2.0895832,37.5,48.761536,1021.0,1015.0
2021-03-15,28.0,17.0,14.533334,2.537778,44.555557,54.156517,1019.0,1014.0
2021-03-16,25.0,15.0,16.043478,2.5847824,52.173912,73.87308,1019.0,1014.0
2021-03-17,24.0,15.0,16.347826,2.1304348,59.565216,78.21198,1022.0,1016.0
2021-03-18,27.0,16.0,15.891304,1.9260868,51.52174,66.80416,1022.0,1016.0
2021-03-19,27.0,16.0,16.0,2.154348,52.826088,69.80834,1021.0,1014.0
2021-03-20,27.0,16.0,16.16279,2.1046512,55.465115,70.83333,1020.0,1013.0
2021-03-21,23.0,17.0,16.673914,1.7955555,58.695652,80.208336,1020.0,1013.0
2021-03-22,23.0,17.0,16.468084,1.6065217,66.914894,85.34801,1022.0,1017.0
2021-03-23,24.0,15.0,15.931818,2.3441858,58.636364,75.36668,1022.0,1018.0
2021-03-24,27.0,15.0,15.955556,2.392857,50.77778,67.128,1023.0,1015.0
2021-03-25,27.0,16.0,16.0,1.890476,50.0,61.656002,1020.0,1014.0
2021-03-26,26.0,17.0,16.341463,2.1675,58.17073,74.08399,1021.0,1016.0
2021-03-27,25.0,16.0,15.2,2.1844444,58.333332,67.0087,1024.0,1018.0
2021-03-28,28.0,17.0,15.166667,2.0341463,58.57143,58.15417,1022.0,1016.0
2021-03-29,26.0,17.0,16.18421,2.5526316,63.94737,67.91667,1021.0,1016.0
2021-03-30,24.0,17.0,17.34091,1.756818,69.545456,84.526085,1022.0,1016.0
2021-03-31,18.0,17.0,17.0,0.4090909,72.0,,1021.0,1019.0
2021-04-01,26.0,17.0,16.151516,1.9424242,51.969696,68.7875,1022.0,1017.0
2021-04-02,27.0,18.0,16.195652,2.4695652,54.130436,69.1875,1023.0,1017.0
2021-04-03,27.0,17.0,16.348837,1.9209301,63.837208,63.768185,1023.0,1016.0
2021-04-04,26.0,17.0,16.485714,2.2114284,56.42857,66.461914,1023.0,1017.0
2021-04-05,24.0,18.0,16.83721,2.272093,67.325584,75.98848,1023.0,1018.0
2021-04-06,26.0,18.0,16.543478,1.9065217,56.086956,61.816666,1023.0,1016.0
2021-04-07,25.0,18.0,16.565218,1.8065217,61.95652,71.950005,1024.0,1017.0
2021-04-08,26.0,18.0,16.386364,2.565909,57.272728,66.29583,1024.0,1017.0
2021-04-09,24.0,16.0,16.152174,2.071111,63.260868,74.41538,1022.0,1016.0
2021-04-10,24.0,18.0,16.957447,2.071111,66.702126,72.95201,1021.0,1015.0
2021-04-11,26.0,17.0,15.391304,1.7434782,52.173912,63.132004,1022.0,1017.0
2021-04-12,24.0,17.0,16.204546,2.1340907,53.75,78.99131,1024.0,1018.0
2021-04-13,24.0,17.0,16.717392,2.1355553,58.04348,83.04614,1024.0,1020.0
2021-04-14,27.0,15.0,16.170214,1.7127659,48.404255,70.47693,1023.0,1017.0
2021-04-15,27.0,16.0,16.375,2.1851063,51.458332,66.72308,1022.0,1016.0
2021-04-16,27.0,17.0,16.741936,1.6483871,55.64516,70.706665,1022.0,1017.0
2021-04-17,27.0,16.0,15.7,2.0,51.0,66.933334,1022.0,1017.0
2021-04-18,25.0,17.0,16.5,2.6833334,60.833332,71.31,1022.0,1017.0
2021-04-19,25.0,18.0,17.358974,2.0846152,75.0,76.500015,1022.0,1017.0
2021-04-20,22.0,17.0,17.09756,2.1585367,61.09756,88.20435,1023.0,1017.0
2021-04-21,22.0,17.0,16.765957,1.5914894,67.34042,83.41201,1024.0,1018.0
2021-04-22,24.0,17.0,17.075,1.925,54.0,74.955,1024.0,1018.0
2021-04-23,25.0,18.0,16.818182,2.1818182,57.272728,69.27201,1023.0,1015.0
2021-04-24,27.0,16.0,16.565218,1.7673912,64.347824,66.112,1021.0,1015.0
2021-04-25,22.0,17.0,17.418604,2.4651163,70.81396,82.97083,1022.0,1017.0
2021-04-26,26.0,16.0,16.309525,1.5071428,60.47619,69.98637,1023.0,1016.0
2021-04-27,27.0,17.0,16.51111,2.173913,56.086956,67.075005,1021.0,1016.0
2021-04-28,25.0,16.0,16.543478,1.6422223,54.130436,69.944,1021.0,1016.0
2021-04-29,26.0,17.0,17.130434,1.9136363,51.52174,66.292305,1021.0,1016.0
2021-04-30,20.0,17.0,17.545454,1.4727273,47.727272,,1019.0,1018.0
2021-05-01,25.0,17.0,16.897436,1.6289474,60.384617,73.495834,1022.0,1017.0
2021-05-02,27.0,16.0,17.177778,2.1111112,49.0,74.18001,1021.0,1016.0
2021-05-03,27.0,17.0,17.127659,1.9234041,56.276596,69.71201,1021.0,1016.0
2021-05-04,26.0,18.0,17.434782,2.271111,65.21739,75.399994,1021.0,1015.0
2021-05-05,25.0,18.0,17.428572,2.0487802,67.85714,75.62084,1021.0,1016.0
2021-05-06,25.0,17.0,16.795454,2.3431816,55.909092,72.444,1022.0,1017.0
2021-05-07,23.0,17.0,16.727272,1.9681817,60.68182,82.09566,1023.0,1019.0
2021-05-08,24.0,17.0,16.923077,1.6538461,60.384617,75.78801,1023.0,1017.0
2021-05-09,23.0,16.0,17.27907,1.7279068,75.5814,87.05834,1023.0,1018.0
2021-05-10,24.0,16.0,16.333334,1.7590908,63.666668,73.85001,1024.0,1018.0
2021-05-11,21.0,17.0,17.195652,1.7130433,78.04348,87.82801,1025.0,1020.0
2021-05-12,24.0,18.0,17.148935,1.8765957,68.61702,74.548,1024.0,1019.0
2021-05-13,25.0,18.0,17.574469,1.8425531,66.702126,73.764,1023.0,1018.0
2021-05-14,23.0,18.0,17.979166,1.4291667,72.5,88.04615,1023.0,1018.0
2021-05-15,26.0,18.0,17.23913,2.2652173,67.17391,74.86,1023.0,1019.0
2021-05-16,27.0,18.0,17.25532,1.8191489,53.93617,65.42308,1022.0,1017.0
2021-05-17,27.0,18.0,17.022223,2.3044443,49.666668,65.22399,1022.0,1017.0
2021-05-18,25.0,17.0,16.729166,1.9083334,53.125,67.68077,1024.0,1019.0
2021-05-19,26.0,17.0,16.19149,1.9404255,56.48936,63.815388,1024.0,1019.0
2021-05-20,26.0,17.0,16.108696,2.1434782,48.260868,62.56153,1024.0,1019.0
2021-05-21,27.0,17.0,16.391304,2.0043478,42.826088,61.673077,1024.0,1018.0
2021-05-22,26.0,18.0,16.655172,2.0103447,44.310345,70.23846,1023.0,1018.0
2021-05-23,25.0,18.0,16.0,2.4066663,50.77778,62.770832,1023.0,1019.0
2021-05-24,25.0,18.0,14.787234,2.2085106,54.148937,62.671993,1025.0,1020.0
2021-05-25,25.0,17.0,14.372093,2.0395348,42.2093,57.990902,1024.0,1019.0
2021-05-26,26.0,16.0,14.319149,1.7468085,42.87234,58.14401,1023.0,1019.0
2021-05-27,26.0,16.0,14.886364,2.1022727,45.930233,59.295826,1024.0,1019.0
2021-05-28,28.0,17.0,15.25532,1.8234042,39.893616,59.084614,1023.0,1018.0
2021-05-29,27.0,18.0,15.152174,1.645652,43.695652,54.587994,1023.0,1018.0
2021-05-30,27.0,18.0,15.586957,1.8934783,40.652172,58.72801,1022.0,1017.0
2021-05-31,26.0,18.0,15.204545,1.9340909,51.590908,57.779163,1022.0,1017.0
2021-06-01,27.0,18.0,14.204545,1.8113636,47.045456,52.92692,1021.0,1016.0
2021-06-02,26.0,18.0,14.212766,2.0652173,39.255318,55.596153,1022.0,1018.0
2021-06-03,27.0,18.0,14.382978,1.6808511,50.531914,56.320004,1024.0,1019.0
2021-06-04,27.0,17.0,14.166667,1.9851062,42.291668,52.21539,1023.0,1018.0
2021-06-05,27.0,17.0,14.369565,2.1565216,45.652172,56.61923,1023.0,1017.0
2021-06-06,25.0,19.0,14.085107,2.417021,51.80851,57.81923,1023.0,1019.0
2021-06-07,24.0,10.0,14.326087,1.8565216,51.52174,61.736,1024.0,1020.0
2021-06-08,26.0,16.0,13.234042,2.4085107,43.51064,53.24,1024.0,1019.0
2021-06-09,27.0,16.0,12.543478,2.1847825,34.565216,50.1,1024.0,1019.0
2021-06-10,27.0,16.0,12.826087,2.1608694,39.565216,53.156002,1023.0,1018.0
2021-06-11,27.0,16.0,12.543478,1.8361703,31.80851,50.22,1023.0,1018.0
2021-06-12,27.0,16.0,12.608696,1.9422222,27.826086,49.680004,1023.0,1018.0
2021-06-13,27.0,17.0,12.934783,1.8108695,29.347826,48.750004,1024.0,1019.0
2021-06-14,28.0,18.0,13.26087,2.041304,33.260868,47.92399,1023.0,1018.0
