local_date,station,c_mean_24,p_max_24,p_min_24,ra1_sum_24,ra3_sum_24,rh_mean_24,t_mean_24,t_max_24,t_min_24,td_mean_24,tn6_min_24,tx6_max_24,v_min_24,wg_max_24,wmx_max_24,ws_mean_24,ws_max_24,c_mean_day,ra1_sum_day,rh_mean_day,rh_min_day,t_max_day,tx6_max_day,wg_max_day,wmx_max_day,ws_mean_day,ws_max_day,c_mean_night,ra1_sum_night,rh_mean_night,rh_max_night,t_min_night,tn6_min_night,wg_max_night,wmx_max_night,ws_mean_night,ws_max_night
2021-01-01,FACT,12.4,1022.0,1018.0,0.0,0.0,49.616,19.64,22.0,17.0,8.68,,,9999.0,,20.6,10.808,14.9,5.357143,0.0,44.771427,40.6,22.0,,,20.6,12.457143,14.9,0.0,0.0,54.250004,62.9,15.0,,,20.1,7.12857,14.4
2021-01-02,FACT,0.0,1019.0,1013.0,0.0,0.0,46.284,22.72,30.0,15.0,10.0,,,9999.0,,,6.2919993,9.3,0.0,0.0,37.464287,27.0,30.0,,,,6.899999,8.2,0.0,0.0,60.518753,72.7,19.0,,,,6.618749,11.8
2021-01-03,FACT,0.0,1013.0,1009.0,0.0,0.0,58.330772,23.615385,29.0,19.0,14.730769,,,9999.0,,,6.3461537,11.8,0.0,0.0,52.51333,42.5,29.0,,,,6.126666,8.2,5.0,0.0,75.5,88.1,18.0,,,,4.899999,8.2
2021-01-04,FACT,11.0,1010.0,1007.0,0.0,0.0,71.192,23.16,30.0,18.0,17.28,,,9999.0,,,5.8,10.8,12.5,0.0,61.835712,48.6,30.0,,,,5.3,10.8,40.0,0.0,86.99334,93.9,19.0,,,,8.8133335,10.8
2021-01-05,FACT,39.6,1014.0,1008.0,0.0,0.0,75.124,21.16,24.0,19.0,16.28,,,9999.0,,,9.26,11.8,43.46154,0.0,62.9,53.6,24.0,,,,10.607693,11.8,26.428572,0.0,83.185715,88.2,18.0,,,,6.864285,9.8
2021-01-06,FACT,15.208333,1015.0,1013.0,0.0,0.0,68.6,21.041666,24.0,18.0,14.708333,,,9999.0,,,8.204166,11.3,12.692307,0.0,58.638454,50.2,24.0,,,,8.984617,11.3,1.6666666,0.0,74.26667,88.1,17.0,,,,5.966666,10.3
2021-01-07,FACT,5.0,1014.0,1011.0,0.0,0.0,66.928,21.6,27.0,17.0,14.92,,,9999.0,,,6.5080004,11.3,1.7857143,0.0,60.07857,47.8,27.0,,,,6.621429,11.3,8.928572,0.0,72.442856,77.6,19.0,,,,7.9357133,10.3
2021-01-08,FACT,1.0416666,1013.0,1009.0,0.0,0.0,63.337498,22.0,26.0,19.0,14.458333,,,9999.0,,18.0,8.724999,12.9,0.0,0.0,54.761536,44.5,26.0,,,18.0,10.446154,12.9,13.4375,0.0,80.1625,93.8,16.0,,,,4.3499994,9.3
2021-01-09,FACT,25.76923,1014.0,1007.0,0.0,0.0,70.55384,20.73077,25.0,16.0,14.769231,,,9999.0,,,4.461538,7.7,26.785715,0.0,62.364285,44.0,25.0,,,,4.9000006,7.7,55.357143,0.0,73.60714,93.9,17.0,,,,6.5071435,10.3
2021-01-10,FACT,38.541668,1016.0,1012.0,0.0,0.0,62.024998,20.208334,23.0,17.0,12.375,,,9999.0,,18.5,9.795833,13.9,25.0,0.0,52.715385,46.7,23.0,,,18.5,11.161539,13.9,7.142857,0.0,64.35714,72.6,16.0,,,,6.6785707,10.8
2021-01-11,FACT,1.0416666,1012.0,1008.0,0.0,0.0,56.466663,23.166666,29.0,16.0,13.708333,,,9999.0,,,6.8416667,9.3,1.9230769,0.0,48.8923,42.3,29.0,,,,7.815384,9.3,3.3333333,0.0,68.6,82.7,18.0,,,,5.879999,8.7
2021-01-12,FACT,1.9230769,1012.0,1010.0,0.0,0.0,63.1,23.961538,31.0,18.0,16.192308,,,9999.0,,12.3,5.7692304,8.7,0.0,0.0,56.513325,40.4,31.0,,,,6.2733326,8.7,1.7857143,0.0,71.328575,77.9,21.0,,,12.3,4.407142,7.2
2021-01-13,FACT,3.0,1012.0,1007.0,0.0,0.0,61.0,25.88,32.0,21.0,17.44,,,9999.0,,,5.6,11.3,5.357143,0.0,52.45,43.4,32.0,,,,7.021428,11.3,0.0,0.0,71.67333,82.7,19.0,,,,4.2599998,7.7
