local_date,station,c_mean_24,p_max_24,p_min_24,ra1_sum_24,ra3_sum_24,rh_mean_24,t_mean_24,t_max_24,t_min_24,td_mean_24,tn6_min_24,tx6_max_24,v_min_24,wg_max_24,wmx_max_24,ws_mean_24,ws_max_24,c_mean_day,ra1_sum_day,rh_mean_day,rh_min_day,t_max_day,tx6_max_day,wg_max_day,wmx_max_day,ws_mean_day,ws_max_day,c_mean_night,ra1_sum_night,rh_mean_night,rh_max_night,t_min_night,tn6_min_night,wg_max_night,wmx_max_night,ws_mean_night,ws_max_night
2021-01-01,HKNW,75.0,1021.0,1017.0,0.0,0.0,79.56957,18.391304,23.0,15.0,14.521739,,,9999.0,,,3.443478,10.3,75.0,0.0,69.825,56.6,23.0,,,,4.883333,9.3,71.42857,0.0,91.78571,93.8,16.0,,,,1.1785715,4.1
2021-01-02,HKNW,56.304348,1022.0,1018.0,0.0,0.0,71.20435,19.608696,25.0,16.0,13.478261,,,9999.0,,,3.3086956,8.2,45.833332,0.0,58.516663,36.2,25.0,,,,5.1333337,8.2,55.714287,0.0,79.08572,93.9,16.0,,,,1.9928572,6.2
2021-01-03,HKNW,40.416668,1022.0,1017.0,0.0,0.0,64.575,20.583334,26.0,16.0,12.875,,,9999.0,,,3.4458332,7.7,44.23077,0.0,52.769234,36.2,26.0,,,,4.3461537,7.7,20.0,0.0,75.07143,93.8,15.0,,,,1.9785715,5.1
2021-01-04,HKNW,40.833332,1022.0,1016.0,0.0,0.0,63.0,20.47826,26.0,15.0,12.304348,,,9999.0,,,3.1458333,8.2,58.846153,0.0,53.284622,34.1,26.0,,,,4.1,8.2,40.833332,0.0,72.7091,82.5,17.0,,,,2.5833335,6.2
2021-01-05,HKNW,60.454544,1021.0,1016.0,0.0,0.0,65.05909,20.59091,26.0,17.0,13.227273,,,9999.0,,,4.018182,8.2,54.23077,0.0,55.56923,34.1,26.0,,,,5.215385,8.2,70.71429,0.0,81.62858,88.1,16.0,,,,2.2785716,8.2
2021-01-06,HKNW,54.130436,1022.0,1017.0,0.0,0.0,65.38261,20.782608,27.0,16.0,13.173913,,,9999.0,,,3.395652,8.2,46.666668,0.0,50.50833,32.2,27.0,,,,4.6249995,8.2,59.285713,0.0,77.85,88.0,17.0,,,,2.4928572,5.1
2021-01-07,HKNW,35.833332,1021.0,1015.0,0.0,0.0,62.704163,21.041666,27.0,17.0,12.833333,,,9999.0,,,3.7916667,8.2,28.076923,0.0,50.98462,32.2,27.0,,,,4.9384613,8.2,1.7857143,0.0,72.78572,87.9,16.0,,,,2.392857,7.2
2021-01-08,HKNW,32.5,1020.0,1013.0,0.0,0.0,67.38181,21.045454,27.0,16.0,14.318182,,,9999.0,,,2.9090908,7.7,43.46154,0.0,58.323074,39.3,27.0,,,,4.246154,7.7,75.0,0.0,83.166664,88.2,19.0,,,,1.6999999,5.1
2021-01-09,HKNW,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,
2021-01-10,HKNW,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,
2021-01-11,HKNW,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,
2021-01-12,HKNW,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,
2021-01-13,HKNW,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,
2021-01-14,HKNW,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,
2021-01-15,HKNW,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,
2021-01-16,HKNW,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,
2021-01-17,HKNW,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,75.0,0.0,82.7,82.7,19.0,,,,2.6,2.6
2021-01-18,HKNW,75.0,1020.0,1016.0,0.0,0.0,62.449993,22.166666,27.0,19.0,14.0,,,9999.0,,,2.4833333,5.1,75.0,0.0,62.449997,36.8,27.0,,,,2.4833333,5.1,,0.0,,,,,,,,
