local_date,station,c_mean_24,p_max_24,p_min_24,ra1_sum_24,ra3_sum_24,rh_mean_24,t_mean_24,t_max_24,t_min_24,td_mean_24,tn6_min_24,tx6_max_24,v_min_24,wg_max_24,wmx_max_24,ws_mean_24,ws_max_24,c_mean_day,ra1_sum_day,rh_mean_day,rh_min_day,t_max_day,tx6_max_day,wg_max_day,wmx_max_day,ws_mean_day,ws_max_day,c_mean_night,ra1_sum_night,rh_mean_night,rh_max_night,t_min_night,tn6_min_night,wg_max_night,wmx_max_night,ws_mean_night,ws_max_night
2021-01-01,HRYR,65.93023,1022.0,1017.0,0.0,0.0,81.56512,19.44186,22.0,17.0,16.023256,,,8000.0,,,1.8697673,4.1,68.478264,0.0,76.71304,60.2,22.0,,,,2.5086951,4.1,66.25,0.0,81.57082,88.2,18.0,,,,1.1750001,3.1
2021-01-02,HRYR,72.391304,1022.0,1017.0,0.0,0.0,82.556526,19.695652,25.0,17.0,16.413044,,,3000.0,,,1.9499999,7.2,75.0,0.0,75.62084,53.8,25.0,,,,2.4916666,7.2,71.666664,0.0,97.54444,100.0,17.0,,,,1.3851852,3.1
2021-01-03,HRYR,65.666664,1022.0,1016.0,0.0,0.0,85.60445,19.622223,24.0,17.0,16.933332,,,6000.0,,,1.6622221,3.6,63.260868,0.0,76.70001,60.9,24.0,,,,1.6869565,3.6,63.46154,0.0,90.91923,100.0,17.0,,,,1.253846,2.6
2021-01-04,HRYR,58.863636,1022.0,1015.0,0.0,0.0,78.38636,20.568182,25.0,17.0,16.454546,,,9999.0,,8.2,2.0227273,4.6,60.0,0.0,70.98751,60.9,25.0,,,,2.3583329,4.6,41.153847,0.0,82.00769,93.8,16.0,,,8.2,2.1423075,4.1
2021-01-05,HRYR,56.136364,1021.0,1015.0,0.0,0.0,72.44772,20.818182,27.0,16.0,15.340909,,,9999.0,,,1.9279069,5.1,62.391304,0.0,62.395657,47.8,27.0,,,,2.3499997,5.1,53.260868,0.0,84.33913,100.0,17.0,,,,1.2304348,2.6
2021-01-06,HRYR,54.302326,1021.0,1016.0,0.0,0.0,81.92326,20.255814,27.0,17.0,16.88372,,,200.0,,,2.1744187,13.9,58.2,0.0,76.896,54.3,27.0,,,,2.8359997,13.9,38.846153,0.0,91.36925,100.0,16.0,,,,1.7307693,4.1
2021-01-07,HRYR,38.695652,1020.0,1014.0,0.0,0.0,69.458694,21.804348,28.0,16.0,15.217391,,,8000.0,,,2.55,5.7,43.8,0.0,57.924,39.6,28.0,,,,2.7559998,5.7,40.6,0.0,70.383995,88.1,17.0,,,,1.8039999,4.1
2021-01-08,HRYR,52.179485,1019.0,1012.0,0.0,0.0,64.57692,22.717949,29.0,17.0,15.025641,,,9999.0,,,2.674359,8.7,53.0,0.0,56.475998,35.0,29.0,,,,3.2919996,8.7,75.0,0.0,96.36,100.0,16.0,,,,2.1200001,5.7
2021-01-09,HRYR,75.0,1020.0,1019.0,0.0,0.0,98.22857,16.714285,17.0,16.0,16.428572,,,7000.0,,,1.042857,2.1,75.0,0.0,93.8,93.8,17.0,,,,0.0,0.0,,0.0,,,,,,,,
2021-01-10,HRYR,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,
2021-01-11,HRYR,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,
2021-01-12,HRYR,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,
2021-01-13,HRYR,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,
2021-01-14,HRYR,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,
2021-01-15,HRYR,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,
2021-01-16,HRYR,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,
2021-01-17,HRYR,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,
2021-01-18,HRYR,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,
2021-01-19,HRYR,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,
2021-01-20,HRYR,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,
2021-01-21,HRYR,51.0,1021.0,1015.0,0.0,0.0,67.44,22.7,27.0,20.0,16.2,,,4000.0,,,2.69,5.1,54.23077,0.0,64.34615,47.8,27.0,,,,3.0,5.1,47.727272,0.0,81.17727,93.9,18.0,,,,1.5681819,4.6
